UID,Session,Sample,d45,d46,d47,d48,d49
25365,20240920,SR_227,1.533520,9.647543,42.952368,152.630819,34855.390797
25368,20240920,SR_230,0.520745,9.860978,47.138140,180.916734,32143.035465
25347,20240920,J1623-240.4,7.864357,5.433197,34.301635,79.170918,17791.845052
25360,20240920,ETH-2,-7.344155,-5.572522,10.989549,39.047740,12050.562783
25357,20240920,PD3_92_0,6.951771,10.772791,52.976248,170.536535,31712.843995
25348,20240920,J1623-240.7,7.831185,5.771435,43.318117,117.083753,23301.924401
25341,20240920,ETH-3,4.351220,11.569544,43.845855,82.417684,16885.050641
25358,20240920,PD3_93_5,6.966786,8.144604,44.162014,145.754716,27161.396074
25335,20240920,J1623-234.3,7.408622,5.626194,32.467026,63.454424,14774.711599
25333,20240920,ETH-3,4.365620,11.644601,35.608093,105.727903,22826.775813
25350,20240920,ETH-2,-7.323477,-5.520283,12.347407,34.894423,11362.134244
25371,20240920,ETH-3,4.368227,11.609589,35.536729,68.624166,11253.346366
25328,20240920,J1623-231.8,6.970489,5.121768,38.306960,123.797412,28314.977102
25363,20240920,SR_225,1.900594,9.727193,38.816364,131.344122,26373.944113
25352,20240920,PD3_72_0,9.190067,12.227468,59.725049,159.986627,34072.251827
25359,20240920,PD3_95_3,7.489035,11.749820,60.187018,173.198010,34465.925316
25346,20240920,J1623-239.8,7.872930,5.522095,44.373373,156.592684,34812.068751
25364,20240920,SR_226,1.195479,9.189299,44.700062,174.880464,38479.479916
25329,20240920,J1623-231.9,7.648887,8.186966,75.073705,268.903834,50245.178050
25332,20240920,ETH-2,-7.353978,-5.575536,3.206607,24.957337,9267.338383
25344,20240920,J1623-238.7,8.209085,7.044199,37.556737,94.976024,23123.186772
25330,20240920,J1623-233,7.372707,5.396304,59.192585,114.859236,27295.419845
25367,20240920,SR_229,0.563574,9.872329,40.973782,186.312139,27286.057137
25327,20240920,J1623-231,6.957641,5.410933,36.178469,94.014387,24516.981961
25325,20240920,J1623-229.4,6.581778,4.950520,37.267302,82.362286,21976.062603
25343,20240920,J1623-238.1,7.778929,5.254173,33.961229,104.634432,24405.289424
25369,20240920,SR_233,-0.397620,9.426942,39.071040,126.325256,25234.405077
25345,20240920,J1623-239.1,7.959709,5.416632,54.767550,158.487336,39606.465725
25370,20240920,ETH-2,-7.373356,-5.610866,9.086595,38.688202,12408.521281
25351,20240920,ETH-3,4.355807,11.617529,33.645100,61.213410,8270.441336
25334,20240920,J1623-234.2,7.689377,5.919017,53.666550,152.173190,33960.911814
6265,20180704,PD6-1.3,0.056495,8.568622,22.292969,68.005917,8044.315125
6260,20180704,PD6-0.05,0.525790,8.217267,37.319124,144.209879,10443.002592
6267,20180704,PD6-1.85,-0.037376,8.695999,36.046646,113.849309,10787.889789
6294,20180704,PD6-35,-1.549377,8.233655,17.564135,57.880248,6735.863975
6277,20180704,PD6-3.9,-0.202967,8.317132,17.709013,55.820215,6302.997307
6299,20180704,ETH-1,5.216616,12.311064,25.013897,50.387640,3757.567113
6282,20180704,PD6-4.3,-0.209576,8.184309,19.823567,81.035799,10083.900590
6268,20180704,ETH-1,5.298937,12.251347,39.476847,98.940507,9205.245521
6264,20180704,PD6-0.9,0.133744,8.595470,22.576847,73.068402,9218.092066
6280,20180704,ETH-1,5.260829,12.278495,27.127226,64.883871,7012.481867
6266,20180704,PD6-1.7,0.047427,8.506958,25.825389,84.795096,10091.473846
